,_id,prob,area_name
138,34,0.0553306342780027,Aviation Sub
139,35,0.34372759856630825,Barton-McFarland
140,36,0.00909090909090909,Bagley
141,37,0.038537549407114624,Green Acres
142,38,0.25,State Fair
143,39,0.0,Palmer Woods
144,4,0.169433465085639,Jefferson Chalmers
145,40,0.08139534883720931,Sherwood Forest
146,41,0.035688273852876914,University District
147,42,0.9259903381642512,Springwells
148,43,0.287977632805219,Franklin Park
149,44,0.467280163599182,Weatherby
150,45,0.011235955056179775,Castle Rouge
151,46,0.1223021582733813,Eliza Howell
152,47,0.4473025723150836,Brightmoor
153,48,0.48894842598794375,Chadsey Condon
154,49,0.2837951301427372,Woodbridge
155,5,0.38058496321550334,Morningside
156,50,0.3530113297555158,Greenfield
157,51,0.39549041713641486,Oakman Blvd Community
158,52,0.5514149621742785,Nardin Park
