,lat,lon,id,address
79,42.43109531986239,-83.11271662267615,01006833.,693 W BRENTWOOD
80,42.43154305129136,-83.11311904879983,01006844.,714 W BRENTWOOD
81,42.43157481188003,-83.1098754275691,01006869.,538 W BRENTWOOD
82,42.431580680620016,-83.10935722647218,01006873.,510 W BRENTWOOD
83,42.431644934315834,-83.10490546593006,01006902.,130 W BRENTWOOD
84,42.43600396900607,-83.10975926501969,01007299.,619 ANNIN
85,42.436379131217514,-83.11397675425565,01007368.,986 ANNIN
86,42.43638134831884,-83.11384702085267,01007369.,980 ANNIN
87,42.43638379260458,-83.11371785751054,01007370.,972 ANNIN
88,42.43643890890122,-83.11132519855833,01007387.,750 ANNIN
89,42.43644962443269,-83.11076928807337,01007392.,720 ANNIN
90,42.43682154778221,-83.10777008659304,01007422.,415 W LANTZ
